time,elevation,azimuth,range,visibility,signal
2026-04-17 10:47:21.000,27.369,286.335,838.333795,1,0.00036231115893528386
2026-04-17 10:48:21.000,43.033,253.999,603.010783,1,0.0007916157424700224
2026-04-17 10:49:21.000,40.892,196.312,624.635088,1,0.0007262309360045924
2026-04-17 10:50:21.000,25.273,168.629,884.483858,1,0.00031712730680982223
2026-04-17 10:51:21.000,14.845,158.154,1240.301449,1,0.00013288024804718039
2026-04-17 10:52:21.000,8.101,153.03,1629.420708,1,5.52072913877092e-05
2026-04-17 10:53:21.000,3.204,150.037,2031.624478,0,1.7514302511513888e-05
2026-04-17 10:54:09.355,0.0,148.407,2359.843296,0,0.0
2026-04-17 12:23:32.155,0.0,253.901,2366.740501,0,0.0
2026-04-17 12:24:32.000,0.564,243.21,2302.985108,0,2.719924987755896e-06
2026-04-17 12:25:32.000,0.445,232.242,2313.964322,0,2.135862050855592e-06
2026-04-17 12:26:11.440,0.0,225.236,2361.734739,0,0.0
2026-04-18 00:12:29.760,0.0,153.671,2339.343421,0,0.0
2026-04-18 00:13:29.000,1.69,143.648,2161.218522,0,8.684495848462525e-06
2026-04-18 00:14:29.000,2.82,132.027,2051.385426,0,1.5266788068360283e-05
2026-04-18 00:15:29.000,3.124,119.59,2024.74788,0,1.7134961094522342e-05
2026-04-18 00:16:29.000,2.527,107.36,2084.759827,0,1.3461654316241551e-05
2026-04-18 00:17:29.000,1.176,96.266,2224.316359,0,5.871824297619638e-06
2026-04-18 00:18:08.583,0.0,89.823,2353.211967,0,0.0
2026-04-18 01:46:05.933,0.0,219.126,2341.115429,0,0.0
2026-04-18 01:47:05.000,4.069,218.41,1934.037692,0,2.3364460184949776e-05
2026-04-18 01:48:05.000,9.416,217.235,1523.710737,1,6.861775134349448e-05
2026-04-18 01:49:05.000,17.269,215.048,1122.753002,1,0.00017074728827089512
2026-04-18 01:50:05.000,31.263,209.773,749.39347,1,0.00046291269920921185
2026-04-18 01:51:05.000,60.655,184.386,477.116466,1,0.0014095821674638674
2026-04-18 01:52:05.000,54.305,72.504,509.961748,1,0.0011808885718953836
2026-04-18 01:53:05.000,28.216,54.992,811.561923,1,0.0003858304237954197
2026-04-18 01:54:05.000,15.802,50.624,1192.291702,1,0.00014713734913559114
2026-04-18 01:55:05.000,8.555,48.73,1595.457866,1,5.954153728699505e-05
2026-04-18 01:56:05.000,3.488,47.716,2006.370225,0,1.9306630671756407e-05
2026-04-18 01:56:56.989,0.0,47.18,2364.527006,0,0.0
2026-04-18 03:24:06.494,0.0,271.428,2353.414796,0,0.0
2026-04-18 03:25:06.000,3.086,278.736,2036.892128,0,1.6825664331183332e-05
2026-04-18 03:26:06.000,6.314,288.634,1757.888827,1,3.988629325436926e-05
2026-04-18 03:27:06.000,9.318,301.861,1542.465378,1,6.707849415287197e-05
2026-04-18 03:28:06.000,11.312,318.492,1420.746095,1,8.840459582123128e-05
2026-04-18 03:29:06.000,11.395,336.746,1417.458251,1,8.925966698128157e-05
2026-04-18 03:30:06.000,9.532,353.534,1533.232285,1,6.903199218696607e-05
2026-04-18 03:31:06.000,6.597,6.966,1743.990163,1,4.200596745713575e-05
2026-04-18 03:32:06.000,3.399,17.049,2019.402907,0,1.8692641223103657e-05
2026-04-18 03:33:06.000,0.302,24.561,2335.708583,0,1.4360179869958375e-06
2026-04-18 03:33:12.053,-0.0,25.208,2369.226065,0,0.0
2026-04-18 05:05:05.777,0.0,328.228,2367.872177,0,0.0
2026-04-18 05:06:05.000,0.853,338.714,2275.959336,0,4.16247125187034e-06
2026-04-18 05:07:05.000,1.079,349.878,2253.184742,0,5.318503255528153e-06
2026-04-18 05:08:05.000,0.62,0.909,2303.311729,0,2.989564650559867e-06
2026-04-18 05:08:43.525,0.0,7.62,2371.958239,0,0.0
2026-04-18 06:44:19.845,0.0,354.165,2373.863561,0,0.0
2026-04-18 06:45:19.000,0.618,4.68,2306.503021,0,2.975799643239846e-06
2026-04-18 06:46:19.000,0.605,15.649,2308.189222,0,2.9110746569309175e-06
2026-04-18 06:47:15.901,0.0,25.748,2374.872327,0,0.0
2026-04-18 08:19:47.855,0.0,336.666,2374.759914,0,0.0
2026-04-18 08:20:47.000,2.846,344.384,2078.969117,0,1.5203217184220444e-05
2026-04-18 08:21:47.000,5.716,354.596,1822.675209,1,3.482588938955693e-05
2026-04-18 08:22:47.000,8.202,7.708,1632.634321,1,5.578563829238584e-05
2026-04-18 08:23:47.000,9.643,23.449,1534.68158,1,6.976996132521461e-05
2026-04-18 08:24:47.000,9.448,40.133,1546.954807,1,6.781708180565621e-05
2026-04-18 08:25:47.000,7.703,55.394,1667.091833,1,5.130945862552454e-05
2026-04-18 08:26:47.000,5.073,67.85,1874.146199,1,3.0059878369338108e-05
2026-04-18 08:27:47.000,2.166,77.468,2142.455905,0,1.1227973764483235e-05
2026-04-18 08:28:31.910,0.0,83.146,2370.608866,0,0.0
2026-04-18 09:55:55.961,0.0,315.587,2374.594072,0,0.0
2026-04-18 09:56:55.000,4.023,315.953,1968.208963,0,2.2699470112050265e-05
2026-04-18 09:57:55.000,9.283,316.43,1557.660818,1,6.617504158268027e-05
2026-04-18 09:58:55.000,16.945,317.149,1154.890075,1,0.0001628855389019391
2026-04-18 09:59:55.000,30.519,318.599,775.21668,1,0.0004368625523481407
2026-04-18 10:00:55.000,61.453,325.026,480.710171,1,0.001417472895981495
2026-04-18 10:01:55.000,62.694,125.548,475.195108,1,0.0014628457711917528
2026-04-18 10:02:55.000,30.962,132.422,765.04018,1,0.00044909161582388834
2026-04-18 10:03:55.000,17.107,133.882,1143.718744,1,0.00016604758048565488
2026-04-18 10:04:55.000,9.34,134.57,1546.369394,1,6.706722918275439e-05
2026-04-18 10:05:55.000,4.031,134.997,1957.10996,0,2.28735310088964e-05
2026-04-18 10:06:53.732,0.0,135.295,2361.730439,0,0.0
2026-04-18 11:34:08.035,0.0,278.433,2370.814858,0,0.0
2026-04-18 11:35:08.000,2.303,269.332,2126.903089,0,1.2025401448575502e-05
2026-04-18 11:36:08.000,4.227,258.143,1943.999614,0,2.4147391253244058e-05
2026-04-18 11:37:08.000,5.396,245.122,1841.309194,1,3.2543698826894935e-05
2026-04-18 11:38:08.000,5.479,231.263,1832.673747,1,3.319989604332694e-05
2026-04-18 11:39:08.000,4.449,218.0,1919.252672,0,2.5743139980556332e-05
2026-04-18 11:40:08.000,2.604,206.441,2088.771081,0,1.384521663467949e-05
2026-04-18 11:41:08.000,0.33,196.95,2322.389114,0,1.578154362767952e-06
2026-04-18 11:41:16.277,0.0,195.797,2358.589384,0,0.0
2026-04-19 00:58:56.450,0.0,205.694,2338.500359,0,0.0
2026-04-19 00:59:56.000,3.946,202.492,1942.646462,0,2.255782895791079e-05
2026-04-19 01:00:56.000,8.911,197.542,1554.836037,1,6.363852536930992e-05
2026-04-19 01:01:56.000,15.576,189.106,1191.438988,1,0.0001451367058678114
2026-04-19 01:02:56.000,24.735,172.746,885.589569,1,0.00030998936028913884
2026-04-19 01:03:56.000,33.176,140.045,717.310624,1,0.0005131794100016294
2026-04-19 01:04:56.000,29.555,100.308,782.016168,1,0.00041938966564083633
2026-04-19 01:05:56.000,19.743,77.21,1036.804005,1,0.00021137581432504365
2026-04-19 01:06:56.000,11.972,65.876,1379.435203,1,9.636252533486153e-05
